0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179
113,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3611111111111111,0.5555555555555556,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.8888888888888888,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.3611111111111111,0.16666666666666666,0.3333333333333333,0.3611111111111111,0.8611111111111112,0.5555555555555556,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3611111111111111,0.6944444444444444,0.08333333333333333,0.3611111111111111,0.5,0.75,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.8888888888888888,0.3333333333333333,0.19444444444444445,0.5555555555555556,0.16666666666666666,0.3611111111111111,0.75,0.16666666666666666,0.5833333333333334,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.5,0.8888888888888888,0.8333333333333334,0.6944444444444444,0.75,0.3333333333333333,0.5,0.8888888888888888,0.5555555555555556,0.8333333333333334,0.6944444444444444,0.75,0.19444444444444445,0.08333333333333333,0.3333333333333333,0.8888888888888888,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.8888888888888888,0.16666666666666666,0.08333333333333333,0.19444444444444445,0.3333333333333333,0.5,0.3611111111111111,0.5555555555555556,0.05555555555555555,0.3611111111111111,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.8888888888888888,0.16666666666666666,0.5,0.8888888888888888,0.3333333333333333,0.5,0.8888888888888888,0.16666666666666666,0.5277777777777778,0.3611111111111111,0.75,0.08333333333333333,0.3611111111111111,0.3611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
64,0.08333333333333333,0.3611111111111111,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3611111111111111,0.8611111111111112,0.8055555555555556,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.3611111111111111,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.3611111111111111,0.3333333333333333,0.3611111111111111,0.5,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.3611111111111111,0.3333333333333333,0.6944444444444444,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.3611111111111111,0.3333333333333333,0.05555555555555555,0.16666666666666666,0.08333333333333333,0.3611111111111111,0.08333333333333333,0.3333333333333333,0.8888888888888888,0.16666666666666666,0.5277777777777778,0.3333333333333333,0.3611111111111111,0.75,0.19444444444444445,0.3333333333333333,0.5,0.75,1.0,0.6944444444444444,0.3333333333333333,0.3611111111111111,0.08333333333333333,0.3333333333333333,0.8888888888888888,0.5555555555555556,0.75,0.9444444444444444,0.8888888888888888,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,0.08333333333333333,0.3333333333333333,0.8888888888888888,0.16666666666666666,0.3333333333333333,0.5,0.8888888888888888,0.16666666666666666,0.3333333333333333,0.3611111111111111,0.5,0.3611111111111111,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.5277777777777778,0.5555555555555556,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.8888888888888888,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.08333333333333333,0.5555555555555556,0.3333333333333333,0.5,0.8888888888888888,0.19444444444444445,0.5,0.8888888888888888,0.5277777777777778,0.5555555555555556,0.3333333333333333,0.8055555555555556,0.08333333333333333,0.5,0.8888888888888888,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.05555555555555555,0.3611111111111111,0.3611111111111111,0.027777777777777776,0.3611111111111111,0.16666666666666666,0.5277777777777778,0.5,0.5555555555555556,0.8888888888888888,0.3333333333333333,0.5,0.5555555555555556,0.8888888888888888,0.5,0.08333333333333333,0.3333333333333333,0.25,0.5555555555555556,0.5,0.3611111111111111,0.3611111111111111,0.19444444444444445,0.08333333333333333,0.05555555555555555,0.8888888888888888,0.3333333333333333,0.16666666666666666,0.5277777777777778,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.19444444444444445,0.5555555555555556,0.5277777777777778,0.3333333333333333,0.3611111111111111,0.5277777777777778,0.6944444444444444,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.5,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
370,0.16666666666666666,0.8055555555555556,0.5,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3611111111111111,0.08333333333333333,0.5555555555555556,0.19444444444444445,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.8888888888888888,0.8333333333333334,0.19444444444444445,0.6944444444444444,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.027777777777777776,0.3611111111111111,0.08333333333333333,0.3333333333333333,0.19444444444444445,0.3333333333333333,0.7777777777777778,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.7777777777777778,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.8055555555555556,0.3611111111111111,0.3333333333333333,0.3333333333333333,0.027777777777777776,0.5555555555555556,0.3333333333333333,0.3611111111111111,0.16666666666666666,0.08333333333333333,0.19444444444444445,0.05555555555555555,0.3611111111111111,0.08333333333333333,0.3333333333333333,0.8888888888888888,0.05555555555555555,0.3611111111111111,0.08333333333333333,0.19444444444444445,0.3333333333333333,0.16666666666666666,0.5277777777777778,0.3611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
31,0.08333333333333333,0.3333333333333333,0.8888888888888888,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.5,0.8888888888888888,0.08333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.5277777777777778,0.3333333333333333,0.8888888888888888,0.3333333333333333,0.5,0.8888888888888888,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3611111111111111,0.3055555555555556,0.75,0.05555555555555555,0.3611111111111111,0.3333333333333333,0.3333333333333333,0.7777777777777778,0.05555555555555555,0.3611111111111111,0.19444444444444445,0.16666666666666666,0.5,0.7777777777777778,0.05555555555555555,0.3333333333333333,0.19444444444444445,0.5,0.8888888888888888,0.5555555555555556,0.05555555555555555,0.3611111111111111,0.5,0.8888888888888888,0.05555555555555555,0.3611111111111111,0.5555555555555556,0.3333333333333333,0.8888888888888888,0.19444444444444445,0.5555555555555556,0.5555555555555556,0.08333333333333333,0.3333333333333333,0.5555555555555556,0.8888888888888888,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.8888888888888888,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.6944444444444444,0.75,0.08333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
230,0.08333333333333333,0.3333333333333333,0.7777777777777778,0.8055555555555556,0.08333333333333333,0.19444444444444445,0.3333333333333333,0.16666666666666666,0.3333333333333333,1.0,0.05555555555555555,0.3611111111111111,0.8333333333333334,0.08333333333333333,0.3611111111111111,0.16666666666666666,0.19444444444444445,0.3611111111111111,0.08333333333333333,0.3333333333333333,0.027777777777777776,0.08333333333333333,0.3333333333333333,0.8333333333333334,0.6944444444444444,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.027777777777777776,0.5,0.3333333333333333,0.08333333333333333,0.19444444444444445,0.027777777777777776,0.5555555555555556,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.7777777777777778,0.5555555555555556,0.3333333333333333,0.08333333333333333,0.05555555555555555,0.3611111111111111,0.3333333333333333,0.5555555555555556,0.3611111111111111,0.16666666666666666,0.5,0.5,0.7777777777777778,0.5555555555555556,0.8333333333333334,0.3333333333333333,0.7777777777777778,0.19444444444444445,0.027777777777777776,0.08333333333333333,0.3333333333333333,0.5555555555555556,0.8333333333333334,0.08333333333333333,0.3611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
222,0.19444444444444445,0.3611111111111111,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3055555555555556,0.3333333333333333,0.08333333333333333,0.8055555555555556,0.3333333333333333,0.05555555555555555,0.3333333333333333,0.3611111111111111,0.7777777777777778,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.05555555555555555,0.3611111111111111,0.3333333333333333,0.5277777777777778,0.3611111111111111,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.027777777777777776,0.05555555555555555,0.16666666666666666,0.5,0.3333333333333333,0.6944444444444444,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.05555555555555555,0.5555555555555556,0.7777777777777778,0.5555555555555556,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.19444444444444445,0.3333333333333333,0.5,0.8333333333333334,0.08333333333333333,0.19444444444444445,0.3611111111111111,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.3055555555555556,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.5,0.3055555555555556,0.3333333333333333,0.16666666666666666,0.5,0.8611111111111112,0.19444444444444445,0.5555555555555556,0.027777777777777776,0.16666666666666666,0.3333333333333333,0.8888888888888888,0.08333333333333333,0.3333333333333333,0.6944444444444444,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
43,0.5555555555555556,0.8888888888888888,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.8888888888888888,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.3611111111111111,0.75,0.08333333333333333,0.3611111111111111,0.3333333333333333,0.5,0.75,0.08333333333333333,0.3611111111111111,0.19444444444444445,0.3611111111111111,0.5,0.3333333333333333,0.08333333333333333,0.3611111111111111,0.6944444444444444,0.75,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.3611111111111111,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.3611111111111111,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.8888888888888888,0.3333333333333333,0.6944444444444444,0.05555555555555555,0.3611111111111111,0.5555555555555556,0.8611111111111112,0.05555555555555555,0.19444444444444445,0.3611111111111111,0.16666666666666666,0.3611111111111111,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.05555555555555555,0.05555555555555555,0.3611111111111111,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
81,0.5555555555555556,0.8888888888888888,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.8888888888888888,0.3333333333333333,0.16666666666666666,0.05555555555555555,0.3611111111111111,0.5555555555555556,0.8611111111111112,0.05555555555555555,0.3611111111111111,0.16666666666666666,0.5,0.16666666666666666,0.3333333333333333,0.05555555555555555,0.3611111111111111,0.3333333333333333,0.5,0.8611111111111112,0.16666666666666666,0.16666666666666666,0.5277777777777778,0.3611111111111111,0.16666666666666666,0.3611111111111111,0.3611111111111111,0.027777777777777776,0.3611111111111111,0.75,0.6944444444444444,0.08333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.05555555555555555,0.16666666666666666,0.08333333333333333,0.3611111111111111,0.16666666666666666,0.16666666666666666,0.19444444444444445,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
312,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3611111111111111,0.7777777777777778,0.8055555555555556,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.19444444444444445,0.7777777777777778,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.3611111111111111,0.3333333333333333,0.8333333333333334,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3611111111111111,0.027777777777777776,0.3333333333333333,0.3611111111111111,0.8333333333333334,0.6944444444444444,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.3611111111111111,0.8333333333333334,0.05555555555555555,0.16666666666666666,0.08333333333333333,0.3611111111111111,0.3333333333333333,0.3611111111111111,0.8888888888888888,0.16666666666666666,0.5277777777777778,0.3333333333333333,0.3611111111111111,0.75,0.3333333333333333,0.16666666666666666,1.0,0.6944444444444444,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.7777777777777778,0.5555555555555556,0.75,0.9444444444444444,0.8333333333333334,0.08333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
322,0.19444444444444445,0.3333333333333333,0.16666666666666666,0.25,0.05555555555555555,0.3333333333333333,0.7777777777777778,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.3611111111111111,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.05555555555555555,0.3611111111111111,0.027777777777777776,0.8333333333333334,0.08333333333333333,0.05555555555555555,0.16666666666666666,0.5555555555555556,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.027777777777777776,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.3611111111111111,0.3333333333333333,0.3333333333333333,0.3611111111111111,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.19444444444444445,0.3611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
6,0.3333333333333333,0.19444444444444445,0.3611111111111111,0.16666666666666666,0.19444444444444445,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.3611111111111111,0.08333333333333333,0.19444444444444445,0.3333333333333333,0.16666666666666666,0.3611111111111111,0.3333333333333333,0.5,0.8888888888888888,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.5,0.3611111111111111,0.16666666666666666,0.3611111111111111,0.5,0.3611111111111111,0.08333333333333333,0.3333333333333333,0.5,0.3611111111111111,0.3333333333333333,0.3611111111111111,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.3611111111111111,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.5,0.3611111111111111,0.3333333333333333,0.027777777777777776,0.3611111111111111,0.3333333333333333,0.5,0.08333333333333333,0.3333333333333333,0.8888888888888888,0.05555555555555555,0.3611111111111111,0.19444444444444445,0.5,0.8888888888888888,0.19444444444444445,0.5277777777777778,0.3333333333333333,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.5,0.7777777777777778,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
